;;19732759.84;;22780580.23;;-;;23660564.24;;;
;;19892150.87;;22889841.99;;25950857.93;;24151019.62;;;
;;19934992.71;;23112976.56;;26123023.5;;24643113.97;;;
;;19550299.22;;23321476.1;;25037344.51;;25593437.1;;;
;;19946643.04;;22692075.94;;-;;-;;;
;;19616808.81;;22660388.89;;-;;23792112.65;;;
;;20239524.78;;22648868.9;;26346597.73;;23866269.13;;;
;;19982218.77;;22786395.69;;-;;26412863.78;;;
;;19732680.05;;24118642.42;;-;;23502611.53;;;
;;19923919.02;;23114554.24;;-;;23605468.31;;;
;;;;;;;;;;;
;;;;error on fischetti;;;;error on fischetti;;;
1;600.13;19811369.14;3.622;1.89;600.75;19899030.29;4.156;2.32;19436700.18;;
3;600.11;22959390.16;2.722;1.51;600.83;23065770.03;3.086;1.97;22611988.67;;
5;600.09;25703741.98;;8.64;600.72;26346597.73;;10.87;23482483.25;;
27;601.04;24512033.73;;4.69;602.34;24235865.08;;3.61;23362025.61;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;1;3;5;27;;;;1;3;5;27
1;600.11;600.1;600.09;600.93;;;;3.35;2.06; -;4.91
2;600.16;600.11;600.1;600.91;;;;4.14;2.37;10.8;6.84
3;600.13;600.12;600.08;601.35;;;;4.1;3.4;11.31;8.7
4;600.13;600.11;600.09;601.05;;;;2.12;4.29;7.44;12.09
5;600.13;600.13;600.09;600.94;;;;4.4;1.49; -; -
1;600.75;601.09;600.73;602.19;;;;2.78;1.36; -;5.44
2;600.75;600.8;600.71;602.42;;;;5.78;1.33;12.14;5.73
3;600.74;600.75;600.72;602.4;;;;4.57;2.09; -;14.82
4;600.75;600.73;600.71;602.49;;;;3.36;7.35; -;4.27
5;600.75;600.77;600.72;602.19;;;;4.29;3.3; -;5.49
