1;1;1;1;;;3;3;3;3;;;5;5;5;5;;;9;;;27;27;27;27;
600.11;20710295.25;8.27;6.15;19436700.18;;600.09;22969402.63;4.23;1.56;22611988.67;;600.07;25193374.82;8.85;6.79;23482483.25;;11159487.98;;;600.62;23525465.14;5.56;0.69;23362025.61
600.11;21044296.21;9.73;7.64;19436701.18;;600.08;-;-;-;22611989.67;;600.07;-;-;-;23482484.25;;11159487.98;;;600.55;23592560.4;5.82;0.98;23362026.61
600.1;-;-;-;19436702.18;;600.1;22970343.8;4.24;1.56;22611990.67;;600.07;-;-;-;23482485.25;;11159487.98;;;600.49;23521294;5.54;0.68;23362027.61
600.11;20234351.45;6.12;3.94;19436703.18;;600.09;23242409.65;5.36;2.71;22611991.67;;600.07;-;-;-;23482486.25;;11159487.98;;;600.51;23832522.68;6.77;1.97;23362028.61
600.12;-;-;-;19436704.18;;600.08;22882997.19;3.59;1.18;22611992.67;;600.07;-;-;-;23482487.25;;11159487.98;;;600.57;23521294;5.54;0.68;23362029.61
600.12;19756948.23;3.5;1.62;19436705.18;;600.16;22958101.73;2.64;1.51;22611993.67;;600.08;25199824.99;8.04;6.81;23482488.25;;11159487.98;;;601.57;23991566.86;6.22;2.62;23362030.61
600.14;20496345.17;6.96;5.17;19436706.18;;600.12;22839554.75;2.21;1;22611994.67;;600.09;-;-;-;23482489.25;;11159487.98;;;601.16;24595644.9;8.53;5.02;23362031.61
600.13;19678356.1;3.1;1.23;19436707.18;;600.16;23609931.57;5.33;4.23;22611995.67;;600.09;-;-;-;23482490.25;;11159487.98;;;601.28;23688621.23;5.02;1.38;23362032.61
600.13;19700780.49;3.19;1.34;19436708.18;;600.1;22697009.58;1.54;0.37;22611996.67;;600.08;24934023.25;7.16;5.82;23482491.25;;11159487.98;;;600.98;23623991.29;4.76;1.11;23362033.61
600.12;-;-;-;19436709.18;;600.16;22956126.12;2.63;1.5;22611997.67;;600.08;27066195.18;14.38;13.24;23482492.25;;11159487.98;;;600.79;23598920.82;4.66;1;23362034.61
;;;;;;;;;;;;;;;;;;;;;;;;;
1;600.11;20662980.97;5.91;3;600.13;19908107.5;2.34;4;;;;;;;;;;;;;;;;;
3;600.09;23016288.32;1.75;4;600.14;23012144.75;1.72;5;;;;;;;;;;;;;;;;;
5;600.07;25193374.82;6.79;1;600.08;25733347.81;8.63;3;;;;;;;;;;;;;;;;;
27;600.55;23598627.24;1;5;601.16;23899749.02;2.23;5;;;;;;;;;;;;;;;;;
