;;vns;;;simultated old;;;simulated;
1;3600;22198897.67;0;3600;20514419.34;0;3600;-;0
2;3600;23317581.97;0;3600;23660016.06;0;3600;-;0
3;3600;27255268.38;0;3600;25759529.15;0;3600;-;0
4;3600;28266065.62;0;3600;27491342.61;0;3600;-;0
5;3600;31661232.06;0;3600;27482670.99;0;3600;-;0
6;3600;10028165283.32;0;3600;26330480.07;0;3600;-;0
7;3600;8562852.92;0;3600;8588547.52;0;3600;8631754.94;0
8;3600;8809664.96;0;3600;8819918.29;0;3600;8819376.57;0
9;3600;11949759.75;0;3600;13040367.45;0;3600;12397309.48;0
10;3600;10303477.14;0;3600;10554806.92;0;3600;10383686.91;0
12;3600;9609993.31;0;3600;9378158.57;0;3600;9175067.21;0
13;3600;8933494.43;0;3600;9771466.67;0;3600;8982354.01;0
14;3600;11069102.24;0;3600;10802067.47;0;3600;10568140.24;0
15;3600;10348430.55;0;3600;10392104.55;0;3600;10454542.49;0
16;3600;8054844.9;0;3600;8499654.19;0;3600;8661763.07;0
17;3600;8560008.61;0;3600;8676395.29;0;3600;9166714.27;0
18;3600;8357195.91;0;3600;10439670.97;0;3600;8837289.16;0
19;3600;9178499.87;0;3600;11478140.5;0;3600;9586265.80;0
20;3600;56698315.12;0;3600;90048798316.4;0;3600;-;0
21;3600;63237214.55;0;3600;100056469333.17;0;3600;-;0
26;3600;310020158032.94;0;3600;410029534306.05;0;3600;-;0
27;3600;26068127.29;0;3600;70032341618.85;0;3600;-;0
28;3600;310023218676.69;0;3600;410034018572.41;0;3600;-;0
29;3600;60039012791;0;3600;180041723108.08;0;3600;-;0
